,kor,no,url,part,video_sec
29,ㄹ,19802,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285679/MOV000285459_700X466.mp4,어미,3.02
30,ㄹ것이다,669,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191018/628690/MOV000241007_700X466.mp4,,4
31,ㄹ것이다,2569,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191018/628689/MOV000239767_700X466.mp4,,4
32,ㄹ것이다,7959,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191018/628688/MOV000255967_700X466.mp4,,4
33,ㄹ게,19803,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285680/MOV000285461_700X466.mp4,어미,3.02
34,ㄹ까,19804,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285681/MOV000285463_700X466.mp4,어미,3.02
35,ㄹ까,19805,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285682/MOV000285465_700X466.mp4,어미,3.02
36,ㄹ까,19806,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285683/MOV000285467_700X466.mp4,어미,5.02
37,ㄹ랑,19807,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290104/MOV000285470_700X466.mp4,조사,3.01
38,ㄹ래,19808,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285685/MOV000285472_700X466.mp4,어미,3.02
39,ㄹ래,19809,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285686/MOV000285474_700X466.mp4,어미,3.02
40,ㄹ리없다,670,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735472/MOV000241009_700X466.mp4,,2.69
41,ㄹ망정,19810,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285687/MOV000285476_700X466.mp4,어미,5.02
42,ㄹ수록,19811,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285688/MOV000285479_700X466.mp4,어미,4.02
43,ㄹ지언정,19812,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285689/MOV000285481_700X466.mp4,어미,5.02
44,ㅁ,12825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009748/MOV000360045_700X466.mp4,,2.52
45,ㅂ,10468,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220803/1006271/MOV000359919_700X466.mp4,,3.02
46,ㅂ니까,1546,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629994/MOV000240259_700X466.mp4,,3.67
47,ㅂ니까,2542,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629996/MOV000238889_700X466.mp4,,3.67
48,ㅂ니까,6285,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629993/MOV000250832_700X466.mp4,,3.67
49,ㅂ니까,9094,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629992/MOV000258834_700X466.mp4,,3.67
50,ㅂ니까,11293,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629999/MOV000238649_700X466.mp4,,3.67
51,ㅂ니까,11447,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629998/MOV000245026_700X466.mp4,,3.67
52,ㅂ니까,11634,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629995/MOV000250693_700X466.mp4,,3.67
53,ㅂ니까,11876,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629997/MOV000253860_700X466.mp4,,3.67
54,ㅂ니까,19942,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285816/MOV000285884_700X466.mp4,어미,3.02
55,ㅂ니다,11375,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151222/232554/MOV000244666_700X466.mp4,,9.08
56,ㅂ니다,19943,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285817/MOV000285886_700X466.mp4,,3.02
57,ㅂ시다,1742,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735129/MOV000240391_700X466.mp4,,2.97
58,ㅂ시다,8970,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/242391/MOV000255226_700X466.mp4,,10.71
59,ㅂ시다,19944,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285818/MOV000285888_700X466.mp4,어미,3.02
60,ㅂ시다,19945,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285819/MOV000285890_700X466.mp4,어미,3.02
61,ㅃ,10657,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005891/MOV000359893_700X466.mp4,,4.02
62,ㅅ,10667,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005893/MOV000359895_700X466.mp4,,4.02
63,ㅅ시옷,20053,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290153/MOV000286310_700X466.mp4,명사,2
64,ㅆ,10927,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005854/MOV000359856_700X466.mp4,,3.85
65,ㅆ쌍시옷,20183,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290180/MOV000286767_700X466.mp4,명사,2.01
66,ㅇ,12801,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009745/MOV000360042_700X466.mp4,,2.52
67,ㅇ이응,20185,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290182/MOV000286771_700X466.mp4,명사,2
68,ㅈ,11784,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001950/MOV000359527_700X466.mp4,,3.54
69,ㅉ,9868,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005759/MOV000359836_700X466.mp4,,3.69
70,ㅉ쌍지읒,20675,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290332/MOV000288385_700X466.mp4,명사,2.01
71,ㅊ,9874,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005761/MOV000359838_700X466.mp4,,3.19
72,ㅋ,12930,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009754/MOV000360051_700X466.mp4,,3.35
73,ㅋ키읔,20715,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290343/MOV000288507_700X466.mp4,명사,2
74,ㅌ,9991,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005763/MOV000359840_700X466.mp4,,3.69
75,ㅌ티읕,20726,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290351/MOV000288535_700X466.mp4,명사,2.01
76,ㅍ,10547,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005870/MOV000359872_700X466.mp4,,3.19
77,ㅍ피읖,20740,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290354/MOV000288592_700X466.mp4,명사,2.01
78,ㅎ,9294,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005694/MOV000359819_700X466.mp4,,3.52
79,ㅎ히읗,20794,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290361/MOV000288825_700X466.mp4,명사,2
80,ㅏ,10936,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005855/MOV000359857_700X466.mp4,,3.02
81,ㅏ아,20186,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160419/290882/MOV000286773_700X466.mp4,명사,3.13
82,ㅐ,9811,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005754/MOV000359831_700X466.mp4,,3.52
83,ㅑ,9816,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005755/MOV000359832_700X466.mp4,,3.52
84,ㅑ야,20224,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290192/MOV000286878_700X466.mp4,명사,2
85,ㅒ,9827,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005756/MOV000359833_700X466.mp4,,3.02
86,ㅒ얘,20235,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290196/MOV000286912_700X466.mp4,명사,2.01
87,ㅓ,9828,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005757/MOV000359834_700X466.mp4,,3.19
88,ㅓ어,20236,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290197/MOV000286914_700X466.mp4,명사,2.01
89,ㅔ,11736,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001923/MOV000359500_700X466.mp4,,3.02
90,ㅕ,10804,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005884/MOV000359886_700X466.mp4,,3.19
91,ㅕ여,20316,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290227/MOV000287127_700X466.mp4,명사,3.02
92,ㅖ,12839,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009749/MOV000360046_700X466.mp4,,2.69
93,ㅖ예,20333,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290231/MOV000287178_700X466.mp4,명사,3.02
94,ㅗ,10830,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005885/MOV000359887_700X466.mp4,,3.02
95,ㅗ오,20336,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290232/MOV000287187_700X466.mp4,명사,2.02
96,ㅘ,10848,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005886/MOV000359888_700X466.mp4,,3.52
97,ㅘ와,20342,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290235/MOV000287200_700X466.mp4,명사,3.01
98,ㅙ,10852,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005887/MOV000359889_700X466.mp4,,3.35
99,ㅙ왜,20347,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290237/MOV000287215_700X466.mp4,명사,3.02
100,ㅚ,11737,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001925/MOV000359502_700X466.mp4,,2.85
101,ㅚ외,20348,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290238/MOV000287217_700X466.mp4,명사,2.02
102,ㅛ,10856,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005888/MOV000359890_700X466.mp4,,3.2
103,ㅛ요,20352,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160419/290883/MOV000287235_700X466.mp4,명사,3.13
104,ㅜ,11745,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001927/MOV000359504_700X466.mp4,,3.02
105,ㅜ우,20355,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290240/MOV000287245_700X466.mp4,명사,2.01
106,ㅝ,11752,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001930/MOV000359507_700X466.mp4,,3.85
107,ㅝ워,20358,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290242/MOV000287253_700X466.mp4,명사,3.01
108,ㅞ,10872,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005889/MOV000359891_700X466.mp4,,4.02
109,ㅞ웨,20362,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290243/MOV000287269_700X466.mp4,명사,3.01
110,ㅟ,11755,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001939/MOV000359516_700X466.mp4,,3.52
111,ㅟ위,20363,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290244/MOV000287272_700X466.mp4,명사,2.01
112,ㅠ,12921,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009753/MOV000360050_700X466.mp4,,2.69
113,ㅠ유,20364,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290245/MOV000287274_700X466.mp4,명사,2
114,ㅡ,10880,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005890/MOV000359892_700X466.mp4,,3.02
115,ㅢ,11762,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001948/MOV000359525_700X466.mp4,,3.69
116,ㅢ의,20438,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290269/MOV000287527_700X466.mp4,명사,2.01
117,ㅣ,11764,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009678/MOV000359988_700X466.mp4,,3.02
118,ㅣ이,20460,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290272/MOV000287613_700X466.mp4,명사,2.01
119,가감,7587,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239422/MOV000249336_700X466.mp4,,14.08
120,가건물,11944,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239423/MOV000249338_700X466.mp4,,16.12
121,가게,7588,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239424/MOV000249340_700X466.mp4,,16.12
122,가게,11699,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190918/615396/MOV000258781_700X466.mp4,,4
123,가게,12229,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/242241/MOV000254927_700X466.mp4,,13.85
124,가격,2374,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627340/MOV000252603_700X466.mp4,,3.47
125,가격,4870,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347125/MOV000260409_700X466.mp4,,7.63
126,가격,6286,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220812/1010107/MOV000360096_700X466.mp4,,4.02
127,가격,8756,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/345535/MOV000243762_700X466.mp4,,8.79
128,가격,8757,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/346901/MOV000260210_700X466.mp4,,8.5
129,가격표,10063,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225000/MOV000241243_700X466.mp4,,9.51
130,가결,7589,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239425/MOV000249342_700X466.mp4,,13.25
131,가계,11945,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239426/MOV000249344_700X466.mp4,,18.19
132,가계부,1671,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225254/MOV000241354_700X466.mp4,,11.58
133,가곡,7590,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239427/MOV000249346_700X466.mp4,,17.28
134,가공,12326,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191010/626222/MOV000258980_700X466.mp4,,4
135,가교,1673,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225256/MOV000241358_700X466.mp4,,9.18
136,가구,6770,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764397/MOV000250034_700X466.mp4,,2.74
137,가구,6868,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190918/615393/MOV000249350_700X466.mp4,,4
138,가구점,1674,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225257/MOV000241360_700X466.mp4,,9.18
139,가구주,6869,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239430/MOV000249352_700X466.mp4,,16.25
140,가구주,6886,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201223/790888/MOV000357847_700X466.mp4,,3.63
141,가까스로,9355,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239852/MOV000250196_700X466.mp4,,14.82
142,가까스로,10859,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243400/MOV000257217_700X466.mp4,,10.95
143,가까스로,11223,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151207/223465/MOV000240549_700X466.mp4,,8.54
144,가까스로,12406,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239431/MOV000249354_700X466.mp4,,16.12
145,가까워지다,1675,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225258/MOV000241362_700X466.mp4,,8.28
146,가까이,823,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624437/MOV000237106_700X466.mp4,,3.54
147,가까이,824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,,2.84
148,가까이,11502,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624438/MOV000249190_700X466.mp4,,3.54
149,가까이,11775,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624440/MOV000257100_700X466.mp4,,3.54
150,가까이하다,824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,,2.84
151,가까이하다,825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,,2.84
152,가까이하다,5910,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630495/MOV000257453_700X466.mp4,,3.6
153,가까이하다,8920,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630493/MOV000255166_700X466.mp4,,3.6
154,가까이하다,10865,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630494/MOV000255156_700X466.mp4,,3.6
155,가까이하다,11575,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630492/MOV000250884_700X466.mp4,,3.6
156,가깝다,824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,,2.84
157,가깝다,1185,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,,2.84
158,가깝다,5910,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630495/MOV000257453_700X466.mp4,,3.6
159,가깝다,8920,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630493/MOV000255166_700X466.mp4,,3.6
160,가깝다,9958,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630495/MOV000257453_700X466.mp4,,3.6
161,가깝다,10865,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630494/MOV000255156_700X466.mp4,,3.6
162,가깝다,11575,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630492/MOV000250884_700X466.mp4,,3.6
163,가깝다,12329,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632335/MOV000259119_700X466.mp4,,3.44
164,가꾸다,1166,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151127/217572/MOV000237871_700X466.mp4,,9.24
165,가꾸다,2781,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630746/MOV000245594_700X466.mp4,,4.31
166,가꾸다,4523,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238944/MOV000248386_700X466.mp4,,12.91
167,가꾸다,6871,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239435/MOV000249362_700X466.mp4,,16.98
168,가꾸다,9346,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630742/MOV000249360_700X466.mp4,,4.31
169,가꾸다,9822,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630744/MOV000257181_700X466.mp4,,4.31
170,가꾸다,9823,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630743/MOV000257195_700X466.mp4,,4.31
171,가꾸다,9990,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630740/MOV000257898_700X466.mp4,,4.31
172,가꾸다,11758,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630745/MOV000256058_700X466.mp4,,4.31
173,가꾸다,11836,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630741/MOV000249618_700X466.mp4,,4.31
174,가끔,9915,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632410/MOV000259374_700X466.mp4,,4
175,가끔,10891,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632409/MOV000256536_700X466.mp4,,4
176,가끔,12407,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632407/MOV000249364_700X466.mp4,,4
177,가끔,12415,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632408/MOV000250331_700X466.mp4,,4
178,가나,9347,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221101/1047315/MOV000361218_700X466.mp4,,3.19
179,가난,2691,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151118/212305/MOV000235473_700X466.mp4,,7.64
180,가난,2693,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212701/MOV000235671_700X466.mp4,,7.04
181,가난,9471,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733641/MOV000249370_700X466.mp4,,3.27
182,가난,10654,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160106/241460/MOV000253378_700X466.mp4,,11.71
183,가난뱅이,2953,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733035/MOV000243764_700X466.mp4,,2.99
184,가내,1196,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221024/1044074/MOV000361139_700X466.mp4,,3.02
185,가내,1676,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225259/MOV000241364_700X466.mp4,,9.61
186,가냘프다,6718,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239494/MOV000249480_700X466.mp4,,15.52
187,가냘프다,23825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735445/MOV000260292_700X466.mp4,,3.25
188,가느다랗다,1677,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735127/MOV000260291_700X466.mp4,,3.57
189,가느다랗다,23825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735445/MOV000260292_700X466.mp4,,3.25
190,가는곳,4954,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009636/MOV000359967_700X466.mp4,,3.52
191,가늘다,6719,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733615/MOV000249482_700X466.mp4,,3.35
192,가늘다,23825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735445/MOV000260292_700X466.mp4,,3.25
193,가능,1391,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151122/214241/MOV000236364_700X466.mp4,,12.35
194,가능,12408,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764392/MOV000249484_700X466.mp4,,2.85
195,가능성,2954,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230619/MOV000243766_700X466.mp4,,8.41
196,가다,11796,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632050/MOV000249486_700X466.mp4,,3
197,가다듬다,6720,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/345641/MOV000249488_700X466.mp4,,6.13
198,가다듬다,7641,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004438/MOV000359631_700X466.mp4,,3.52
199,가담,1193,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632955/MOV000238133_700X466.mp4,,3.67
200,가담,9043,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632954/MOV000259325_700X466.mp4,,3.67
201,가담,9348,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632950/MOV000249490_700X466.mp4,,3.67
202,가담,11666,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632953/MOV000247428_700X466.mp4,,3.67
203,가담,12297,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632951/MOV000259584_700X466.mp4,,3.67
204,가담,12780,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632949/MOV000250930_700X466.mp4,,3.67
205,가담,12927,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632952/MOV000257417_700X466.mp4,,3.67
206,가도,1678,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225261/MOV000241368_700X466.mp4,,9.34
