,kor,no,url,part,video_sec,video_link
32,ㄹ것이다,7959,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191018/628688/MOV000255967_700X466.mp4,,4.0,ㄹ것이다_(32).mp4
33,ㄹ게,19803,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285680/MOV000285461_700X466.mp4,어미,3.02,ㄹ게_(33).mp4
34,ㄹ까,19804,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285681/MOV000285463_700X466.mp4,어미,3.02,ㄹ까_(34).mp4
35,ㄹ까,19805,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285682/MOV000285465_700X466.mp4,어미,3.02,ㄹ까_(35).mp4
36,ㄹ까,19806,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285683/MOV000285467_700X466.mp4,어미,5.02,ㄹ까_(36).mp4
37,ㄹ랑,19807,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290104/MOV000285470_700X466.mp4,조사,3.01,ㄹ랑_(37).mp4
38,ㄹ래,19808,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285685/MOV000285472_700X466.mp4,어미,3.02,ㄹ래_(38).mp4
39,ㄹ래,19809,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285686/MOV000285474_700X466.mp4,어미,3.02,ㄹ래_(39).mp4
40,ㄹ리없다,670,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735472/MOV000241009_700X466.mp4,,2.69,ㄹ리없다_(40).mp4
41,ㄹ망정,19810,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285687/MOV000285476_700X466.mp4,어미,5.02,ㄹ망정_(41).mp4
42,ㄹ수록,19811,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285688/MOV000285479_700X466.mp4,어미,4.02,ㄹ수록_(42).mp4
43,ㄹ지언정,19812,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285689/MOV000285481_700X466.mp4,어미,5.02,ㄹ지언정_(43).mp4
44,ㅁ,12825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009748/MOV000360045_700X466.mp4,,2.52,ㅁ_(44).mp4
45,ㅂ,10468,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220803/1006271/MOV000359919_700X466.mp4,,3.02,ㅂ_(45).mp4
46,ㅂ니까,1546,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629994/MOV000240259_700X466.mp4,,3.67,ㅂ니까_(46).mp4
47,ㅂ니까,2542,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629996/MOV000238889_700X466.mp4,,3.67,ㅂ니까_(47).mp4
48,ㅂ니까,6285,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629993/MOV000250832_700X466.mp4,,3.67,ㅂ니까_(48).mp4
49,ㅂ니까,9094,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629992/MOV000258834_700X466.mp4,,3.67,ㅂ니까_(49).mp4
50,ㅂ니까,11293,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629999/MOV000238649_700X466.mp4,,3.67,ㅂ니까_(50).mp4
51,ㅂ니까,11447,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629998/MOV000245026_700X466.mp4,,3.67,ㅂ니까_(51).mp4
52,ㅂ니까,11634,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629995/MOV000250693_700X466.mp4,,3.67,ㅂ니까_(52).mp4
53,ㅂ니까,11876,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629997/MOV000253860_700X466.mp4,,3.67,ㅂ니까_(53).mp4
54,ㅂ니까,19942,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285816/MOV000285884_700X466.mp4,어미,3.02,ㅂ니까_(54).mp4
55,ㅂ니다,11375,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151222/232554/MOV000244666_700X466.mp4,,9.08,ㅂ니다_(55).mp4
56,ㅂ니다,19943,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285817/MOV000285886_700X466.mp4,,3.02,ㅂ니다_(56).mp4
57,ㅂ시다,1742,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735129/MOV000240391_700X466.mp4,,2.97,ㅂ시다_(57).mp4
58,ㅂ시다,8970,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/242391/MOV000255226_700X466.mp4,,10.71,ㅂ시다_(58).mp4
59,ㅂ시다,19944,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285818/MOV000285888_700X466.mp4,어미,3.02,ㅂ시다_(59).mp4
60,ㅂ시다,19945,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285819/MOV000285890_700X466.mp4,어미,3.02,ㅂ시다_(60).mp4
61,ㅃ,10657,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005891/MOV000359893_700X466.mp4,,4.02,ㅃ_(61).mp4
62,ㅅ,10667,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005893/MOV000359895_700X466.mp4,,4.02,ㅅ_(62).mp4
63,ㅅ시옷,20053,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290153/MOV000286310_700X466.mp4,명사,2.0,ㅅ시옷_(63).mp4
64,ㅆ,10927,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005854/MOV000359856_700X466.mp4,,3.85,ㅆ_(64).mp4
65,ㅆ쌍시옷,20183,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290180/MOV000286767_700X466.mp4,명사,2.01,ㅆ쌍시옷_(65).mp4
66,ㅇ,12801,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009745/MOV000360042_700X466.mp4,,2.52,ㅇ_(66).mp4
67,ㅇ이응,20185,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290182/MOV000286771_700X466.mp4,명사,2.0,ㅇ이응_(67).mp4
68,ㅈ,11784,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001950/MOV000359527_700X466.mp4,,3.54,ㅈ_(68).mp4
69,ㅉ,9868,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005759/MOV000359836_700X466.mp4,,3.69,ㅉ_(69).mp4
70,ㅉ쌍지읒,20675,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290332/MOV000288385_700X466.mp4,명사,2.01,ㅉ쌍지읒_(70).mp4
71,ㅊ,9874,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005761/MOV000359838_700X466.mp4,,3.19,ㅊ_(71).mp4
72,ㅋ,12930,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009754/MOV000360051_700X466.mp4,,3.35,ㅋ_(72).mp4
73,ㅋ키읔,20715,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290343/MOV000288507_700X466.mp4,명사,2.0,ㅋ키읔_(73).mp4
74,ㅌ,9991,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005763/MOV000359840_700X466.mp4,,3.69,ㅌ_(74).mp4
75,ㅌ티읕,20726,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290351/MOV000288535_700X466.mp4,명사,2.01,ㅌ티읕_(75).mp4
76,ㅍ,10547,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005870/MOV000359872_700X466.mp4,,3.19,ㅍ_(76).mp4
77,ㅍ피읖,20740,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290354/MOV000288592_700X466.mp4,명사,2.01,ㅍ피읖_(77).mp4
78,ㅎ,9294,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005694/MOV000359819_700X466.mp4,,3.52,ㅎ_(78).mp4
79,ㅎ히읗,20794,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290361/MOV000288825_700X466.mp4,명사,2.0,ㅎ히읗_(79).mp4
80,ㅏ,10936,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005855/MOV000359857_700X466.mp4,,3.02,ㅏ_(80).mp4
81,ㅏ아,20186,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160419/290882/MOV000286773_700X466.mp4,명사,3.13,ㅏ아_(81).mp4
82,ㅐ,9811,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005754/MOV000359831_700X466.mp4,,3.52,ㅐ_(82).mp4
83,ㅑ,9816,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005755/MOV000359832_700X466.mp4,,3.52,ㅑ_(83).mp4
84,ㅑ야,20224,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290192/MOV000286878_700X466.mp4,명사,2.0,ㅑ야_(84).mp4
85,ㅒ,9827,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005756/MOV000359833_700X466.mp4,,3.02,ㅒ_(85).mp4
86,ㅒ얘,20235,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290196/MOV000286912_700X466.mp4,명사,2.01,ㅒ얘_(86).mp4
87,ㅓ,9828,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005757/MOV000359834_700X466.mp4,,3.19,ㅓ_(87).mp4
88,ㅓ어,20236,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290197/MOV000286914_700X466.mp4,명사,2.01,ㅓ어_(88).mp4
89,ㅔ,11736,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001923/MOV000359500_700X466.mp4,,3.02,ㅔ_(89).mp4
90,ㅕ,10804,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005884/MOV000359886_700X466.mp4,,3.19,ㅕ_(90).mp4
91,ㅕ여,20316,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290227/MOV000287127_700X466.mp4,명사,3.02,ㅕ여_(91).mp4
92,ㅖ,12839,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009749/MOV000360046_700X466.mp4,,2.69,ㅖ_(92).mp4
93,ㅖ예,20333,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290231/MOV000287178_700X466.mp4,명사,3.02,ㅖ예_(93).mp4
94,ㅗ,10830,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005885/MOV000359887_700X466.mp4,,3.02,ㅗ_(94).mp4
95,ㅗ오,20336,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290232/MOV000287187_700X466.mp4,명사,2.02,ㅗ오_(95).mp4
96,ㅘ,10848,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005886/MOV000359888_700X466.mp4,,3.52,ㅘ_(96).mp4
97,ㅘ와,20342,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290235/MOV000287200_700X466.mp4,명사,3.01,ㅘ와_(97).mp4
98,ㅙ,10852,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005887/MOV000359889_700X466.mp4,,3.35,ㅙ_(98).mp4
99,ㅙ왜,20347,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290237/MOV000287215_700X466.mp4,명사,3.02,ㅙ왜_(99).mp4
100,ㅚ,11737,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001925/MOV000359502_700X466.mp4,,2.85,ㅚ_(100).mp4
101,ㅚ외,20348,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290238/MOV000287217_700X466.mp4,명사,2.02,ㅚ외_(101).mp4
102,ㅛ,10856,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005888/MOV000359890_700X466.mp4,,3.2,ㅛ_(102).mp4
103,ㅛ요,20352,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160419/290883/MOV000287235_700X466.mp4,명사,3.13,ㅛ요_(103).mp4
104,ㅜ,11745,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001927/MOV000359504_700X466.mp4,,3.02,ㅜ_(104).mp4
105,ㅜ우,20355,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290240/MOV000287245_700X466.mp4,명사,2.01,ㅜ우_(105).mp4
106,ㅝ,11752,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001930/MOV000359507_700X466.mp4,,3.85,ㅝ_(106).mp4
107,ㅝ워,20358,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290242/MOV000287253_700X466.mp4,명사,3.01,ㅝ워_(107).mp4
108,ㅞ,10872,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005889/MOV000359891_700X466.mp4,,4.02,ㅞ_(108).mp4
109,ㅞ웨,20362,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290243/MOV000287269_700X466.mp4,명사,3.01,ㅞ웨_(109).mp4
110,ㅟ,11755,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001939/MOV000359516_700X466.mp4,,3.52,ㅟ_(110).mp4
111,ㅟ위,20363,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290244/MOV000287272_700X466.mp4,명사,2.01,ㅟ위_(111).mp4
112,ㅠ,12921,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009753/MOV000360050_700X466.mp4,,2.69,ㅠ_(112).mp4
113,ㅠ유,20364,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290245/MOV000287274_700X466.mp4,명사,2.0,ㅠ유_(113).mp4
114,ㅡ,10880,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005890/MOV000359892_700X466.mp4,,3.02,ㅡ_(114).mp4
115,ㅢ,11762,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001948/MOV000359525_700X466.mp4,,3.69,ㅢ_(115).mp4
116,ㅢ의,20438,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290269/MOV000287527_700X466.mp4,명사,2.01,ㅢ의_(116).mp4
117,ㅣ,11764,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009678/MOV000359988_700X466.mp4,,3.02,ㅣ_(117).mp4
118,ㅣ이,20460,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290272/MOV000287613_700X466.mp4,명사,2.01,ㅣ이_(118).mp4
119,가감,7587,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239422/MOV000249336_700X466.mp4,,14.08,가감_(119).mp4
120,가건물,11944,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239423/MOV000249338_700X466.mp4,,16.12,가건물_(120).mp4
121,가게,7588,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239424/MOV000249340_700X466.mp4,,16.12,가게_(121).mp4
122,가게,11699,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190918/615396/MOV000258781_700X466.mp4,,4.0,가게_(122).mp4
123,가게,12229,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/242241/MOV000254927_700X466.mp4,,13.85,가게_(123).mp4
124,가격,2374,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627340/MOV000252603_700X466.mp4,,3.47,가격_(124).mp4
125,가격,4870,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347125/MOV000260409_700X466.mp4,,7.63,가격_(125).mp4
126,가격,6286,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220812/1010107/MOV000360096_700X466.mp4,,4.02,가격_(126).mp4
127,가격,8756,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/345535/MOV000243762_700X466.mp4,,8.79,가격_(127).mp4
128,가격,8757,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/346901/MOV000260210_700X466.mp4,,8.5,가격_(128).mp4
129,가격표,10063,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225000/MOV000241243_700X466.mp4,,9.51,가격표_(129).mp4
130,가결,7589,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239425/MOV000249342_700X466.mp4,,13.25,가결_(130).mp4
131,가계,11945,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239426/MOV000249344_700X466.mp4,,18.19,가계_(131).mp4
132,가계부,1671,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225254/MOV000241354_700X466.mp4,,11.58,가계부_(132).mp4
133,가곡,7590,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239427/MOV000249346_700X466.mp4,,17.28,가곡_(133).mp4
134,가공,12326,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191010/626222/MOV000258980_700X466.mp4,,4.0,가공_(134).mp4
135,가교,1673,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225256/MOV000241358_700X466.mp4,,9.18,가교_(135).mp4
136,가구,6770,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764397/MOV000250034_700X466.mp4,,2.74,가구_(136).mp4
137,가구,6868,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190918/615393/MOV000249350_700X466.mp4,,4.0,가구_(137).mp4
138,가구점,1674,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225257/MOV000241360_700X466.mp4,,9.18,가구점_(138).mp4
139,가구주,6869,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239430/MOV000249352_700X466.mp4,,16.25,가구주_(139).mp4
140,가구주,6886,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201223/790888/MOV000357847_700X466.mp4,,3.63,가구주_(140).mp4
141,가까스로,9355,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239852/MOV000250196_700X466.mp4,,14.82,가까스로_(141).mp4
142,가까스로,10859,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243400/MOV000257217_700X466.mp4,,10.95,가까스로_(142).mp4
143,가까스로,11223,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151207/223465/MOV000240549_700X466.mp4,,8.54,가까스로_(143).mp4
144,가까스로,12406,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239431/MOV000249354_700X466.mp4,,16.12,가까스로_(144).mp4
145,가까워지다,1675,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225258/MOV000241362_700X466.mp4,,8.28,가까워지다_(145).mp4
146,가까이,823,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624437/MOV000237106_700X466.mp4,,3.54,가까이_(146).mp4
147,가까이,824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,,2.84,가까이_(147).mp4
148,가까이,11502,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624438/MOV000249190_700X466.mp4,,3.54,가까이_(148).mp4
149,가까이,11775,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624440/MOV000257100_700X466.mp4,,3.54,가까이_(149).mp4
150,가까이하다,824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,,2.84,가까이하다_(150).mp4
151,가까이하다,825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,,2.84,가까이하다_(151).mp4
152,가까이하다,5910,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630495/MOV000257453_700X466.mp4,,3.6,가까이하다_(152).mp4
153,가까이하다,8920,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630493/MOV000255166_700X466.mp4,,3.6,가까이하다_(153).mp4
154,가까이하다,10865,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630494/MOV000255156_700X466.mp4,,3.6,가까이하다_(154).mp4
155,가까이하다,11575,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630492/MOV000250884_700X466.mp4,,3.6,가까이하다_(155).mp4
156,가깝다,824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,,2.84,가깝다_(156).mp4
157,가깝다,1185,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,,2.84,가깝다_(157).mp4
158,가깝다,5910,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630495/MOV000257453_700X466.mp4,,3.6,가깝다_(158).mp4
159,가깝다,8920,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630493/MOV000255166_700X466.mp4,,3.6,가깝다_(159).mp4
160,가깝다,9958,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630495/MOV000257453_700X466.mp4,,3.6,가깝다_(160).mp4
161,가깝다,10865,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630494/MOV000255156_700X466.mp4,,3.6,가깝다_(161).mp4
162,가깝다,11575,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630492/MOV000250884_700X466.mp4,,3.6,가깝다_(162).mp4
163,가깝다,12329,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632335/MOV000259119_700X466.mp4,,3.44,가깝다_(163).mp4
164,가꾸다,1166,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151127/217572/MOV000237871_700X466.mp4,,9.24,가꾸다_(164).mp4
165,가꾸다,2781,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630746/MOV000245594_700X466.mp4,,4.31,가꾸다_(165).mp4
166,가꾸다,4523,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238944/MOV000248386_700X466.mp4,,12.91,가꾸다_(166).mp4
167,가꾸다,6871,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239435/MOV000249362_700X466.mp4,,16.98,가꾸다_(167).mp4
168,가꾸다,9346,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630742/MOV000249360_700X466.mp4,,4.31,가꾸다_(168).mp4
169,가꾸다,9822,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630744/MOV000257181_700X466.mp4,,4.31,가꾸다_(169).mp4
170,가꾸다,9823,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630743/MOV000257195_700X466.mp4,,4.31,가꾸다_(170).mp4
171,가꾸다,9990,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630740/MOV000257898_700X466.mp4,,4.31,가꾸다_(171).mp4
